Month_Num,Year,DayOfWeek,Traffic
12.0,1957.0,6.0,271.0
1.0,1958.0,2.0,391.0
1.0,1950.0,6.0,336.0
1.0,1951.0,0.0,312.0
7.0,1960.0,4.0,284.0
11.0,1955.0,1.0,355.0
1.0,1952.0,1.0,363.0
9.0,1956.0,5.0,218.0
7.0,1959.0,2.0,284.0
4.0,1954.0,3.0,472.0
4.0,1951.0,6.0,364.0
7.0,1956.0,6.0,406.0
9.0,1955.0,3.0,465.0
11.0,1951.0,3.0,347.0
10.0,1953.0,3.0,150.0
7.0,1955.0,4.0,243.0
6.0,1957.0,5.0,348.0
7.0,1952.0,1.0,274.0
3.0,1960.0,1.0,284.0
2.0,1957.0,4.0,162.0
10.0,1950.0,6.0,227.0
10.0,1952.0,2.0,188.0
8.0,1955.0,0.0,203.0
2.0,1952.0,4.0,183.0
5.0,1958.0,3.0,278.0
5.0,1952.0,3.0,264.0
11.0,1957.0,4.0,356.0
10.0,1957.0,1.0,317.0
6.0,1954.0,1.0,315.0
6.0,1950.0,3.0,237.0
10.0,1955.0,5.0,204.0
12.0,1959.0,1.0,284.0
4.0,1953.0,2.0,170.0
2.0,1954.0,0.0,236.0
12.0,1952.0,0.0,172.0
5.0,1951.0,1.0,422.0
6.0,1956.0,4.0,269.0
11.0,1952.0,5.0,194.0
4.0,1960.0,4.0,284.0
8.0,1950.0,1.0,355.0
8.0,1953.0,5.0,396.0
2.0,1956.0,2.0,313.0
10.0,1958.0,2.0,284.0
4.0,1959.0,2.0,284.0
9.0,1950.0,4.0,548.0
2.0,1951.0,3.0,146.0
11.0,1960.0,1.0,284.0
4.0,1950.0,5.0,145.0
6.0,1951.0,4.0,230.0
3.0,1953.0,6.0,461.0
1.0,1956.0,6.0,229.0
5.0,1960.0,6.0,284.0
7.0,1950.0,5.0,171.0
1.0,1957.0,1.0,234.0
6.0,1959.0,0.0,284.0
9.0,1958.0,0.0,491.0
7.0,1954.0,3.0,472.0
3.0,1954.0,0.0,284.0
2.0,1959.0,6.0,284.0
11.0,1953.0,6.0,390.0
2.0,1958.0,5.0,432.0
2.0,1955.0,1.0,233.0
10.0,1960.0,5.0,284.0
8.0,1956.0,2.0,196.0
8.0,1959.0,5.0,284.0
8.0,1957.0,3.0,348.0
6.0,1953.0,0.0,277.0
11.0,1954.0,0.0,342.0
7.0,1957.0,0.0,463.0
1.0,1954.0,4.0,178.0
5.0,1957.0,2.0,505.0
5.0,1959.0,4.0,284.0
10.0,1954.0,4.0,235.0
4.0,1956.0,6.0,535.0
9.0,1952.0,0.0,235.0
6.0,1960.0,2.0,284.0
12.0,1954.0,2.0,180.0
4.0,1955.0,4.0,405.0
3.0,1959.0,6.0,284.0
2.0,1953.0,6.0,172.0
6.0,1952.0,6.0,149.0
12.0,1958.0,0.0,284.0
11.0,1959.0,6.0,284.0
2.0,1950.0,2.0,340.0
5.0,1954.0,5.0,170.0
10.0,1951.0,0.0,191.0
3.0,1950.0,2.0,115.0
12.0,1951.0,5.0,180.0
8.0,1958.0,4.0,404.0
4.0,1958.0,1.0,242.0
9.0,1959.0,1.0,284.0
4.0,1957.0,0.0,166.0
1.0,1960.0,4.0,284.0
3.0,1956.0,3.0,209.0
3.0,1957.0,4.0,141.0
11.0,1956.0,3.0,362.0
2.0,1960.0,0.0,284.0
12.0,1960.0,3.0,284.0
9.0,1951.0,5.0,133.0
1.0,1955.0,5.0,318.0
12.0,1955.0,3.0,420.0
11.0,1958.0,5.0,284.0
3.0,1951.0,3.0,211.0
9.0,1957.0,6.0,417.0
7.0,1958.0,1.0,178.0
6.0,1955.0,3.0,622.0
6.0,1955.0,3.0,163.0
6.0,1955.0,3.0,413.0
6.0,1955.0,3.0,419.0
6.0,1955.0,3.0,301.0
6.0,1955.0,3.0,305.0
6.0,1955.0,3.0,347.0
6.0,1955.0,3.0,405.0
6.0,1955.0,3.0,374.0
6.0,1955.0,3.0,272.0
6.0,1955.0,3.0,359.0
6.0,1955.0,3.0,158.0
6.0,1955.0,3.0,135.0
6.0,1955.0,3.0,404.0
6.0,1955.0,3.0,302.0
6.0,1955.0,3.0,461.0
6.0,1955.0,3.0,559.0
6.0,1955.0,3.0,467.0
6.0,1955.0,3.0,229.0
6.0,1955.0,3.0,337.0
6.0,1955.0,3.0,126.0
6.0,1955.0,3.0,184.0
6.0,1955.0,3.0,310.0
